time a_x a_y a_z m_x m_y m_z baro
4200 2.5469537 -0.4355942 -9.6182490 -27.7220610 -8.7565000 16.8178560 967.0257143
4230 2.6375153 -0.2513274 -9.7674885 -27.8158720 -8.9564970 17.1936500 967.0000000
4260 2.5622218 -0.1595682 -9.7915880 -28.0035400 -8.6564940 17.0057530 967.0383333
4290 2.5554857 -0.3370990 -9.8097010 -27.8158720 -8.6564940 17.0057530 967.0766667
4320 2.4797432 -0.4466711 -9.6499820 -27.7220610 -8.9564970 16.6299600 967.1150000
4350 2.4927662 -0.4863386 -9.7268475 -27.7220610 -8.8064955 16.4890450 967.1533333
4380 2.5057893 -0.5260062 -9.8037130 -27.7220610 -8.6564940 16.3481300 967.1916667
4410 2.4754024 -0.3881428 -9.9935190 -27.9096980 -8.9564970 16.6299600 967.2300000
4440 2.4749534 -0.3312611 -9.9956140 -27.8158720 -8.6564940 16.5360100 967.2342786
4470 2.7181976 -0.2927911 -9.8855920 -27.7220610 -9.0565030 16.6299600 967.2385571
4500 2.6006918 -0.2270778 -9.8341000 -27.7220610 -8.4564970 17.1936500 967.2428357
4530 2.4819887 -0.2894980 -9.9200210 -28.0035400 -8.4564970 16.1602170 967.2471143
4560 2.4448660 -0.3121010 -9.6408520 -27.8158720 -8.1564940 16.7239070 967.2513929
4590 2.5103548 -0.3699557 -9.6699660 -27.6751480 -8.4564970 16.6769335 967.2556714
4620 2.5758436 -0.4278104 -9.6990800 -27.5344240 -8.7565000 16.6299600 967.2599500
4650 2.5188122 -0.4251160 -9.7118040 -27.7220610 -8.7565000 17.1936500 967.2585286
4680 2.6235943 -0.2028282 -9.7707815 -27.9096980 -8.6564940 16.8178560 967.2571071
4710 2.5671616 -0.2507286 -9.9551980 -28.0035400 -8.4564970 16.5360100 967.2556857
4740 2.5459058 -0.3373984 -9.9592400 -27.7220610 -8.3564910 17.1936500 967.2542643
4770 2.6129663 -0.4514612 -9.8147900 -27.8158720 -8.4564970 16.5360100 967.2528429
4800 2.5769661 -0.4943470 -9.8082785 -27.8158720 -8.4064940 16.5360100 967.2514214
4830 2.5409660 -0.5372328 -9.8017670 -27.8158720 -8.3564910 16.5360100 967.2500000
4860 2.4807910 -0.5093907 -9.8397880 -27.9096980 -8.3564910 17.1936500 967.2483333
4890 2.4526496 -0.3960764 -9.9740590 -27.7220610 -8.6564940 16.8178560 967.2466667
4920 2.5165668 -0.3601510 -9.8076050 -27.6282350 -8.6564940 16.5360100 967.2450000
4950 2.5309370 -0.4183800 -9.8481700 -27.7220610 -8.3564910 17.1936500 967.2433333
4980 2.5560846 -0.3713777 -9.8061080 -27.8158720 -8.1564940 17.0996860 967.2416667
5010 2.5938810 -0.3717519 -9.8231725 -27.8627850 -8.4564970 17.1466680 967.2400000
5040 2.6316774 -0.3721262 -9.8402370 -27.9096980 -8.7565000 17.1936500 967.2142857
5070 2.5342300 -0.4451742 -9.8742160 -27.9096980 -8.1564940 16.9118040 967.1885714
